fsym_id,date,currency,ff_upd_type,ff_fp_ind_code,ff_report_freq_code,ff_fiscal_date,ff_fy_length_days,ff_fyr,ff_fpnc,ff_sales,ff_gross_inc,ff_oper_exp_oth,ff_oper_exp_tot,ff_oper_inc,ff_ptx_xord_chrg,ff_ptx_inc,ff_inc_tax,ff_min_int_exp,ff_eq_aff_inc,ff_net_income,ff_div_pfd,ff_cash_st,ff_cash_only,ff_inven,ff_assets_curr,ff_assets_oth_intang,ff_assets,ff_liabs_curr,ff_debt_st,ff_pay_acct,ff_accr_exp_xpayr,ff_debt_lt,ff_pfd_stk,ff_com_eq,ff_debt,ff_shldrs_eq,ff_net_inc_cf,ff_dep_exp_cf,ff_non_cash,ff_funds_oper_gross,ff_wkcap_chg,ff_sale_assets_bus_cf,ff_invest_activ_cf,ff_div_cf,ff_chg_cash_cf,ff_eps_reported,ff_bps,ff_com_shs_out_eps_basic,ff_com_shs_out_eps_dil,ff_com_shs_out,ff_price_close_fp,ff_consol_net_inc,ff_eq_tot,ff_eps_basic,ff_com_shs_out_eps,ff_exp_tot,ff_min_int_accum,ff_liabs_shldrs_eq,ff_ppe_net,ff_rsrv_noneq,ff_receiv_st,ff_dps,ff_dps_gross,ff_eps_rpt_date,ff_source_is_date,ff_source_bs_date,ff_source_cf_date,ff_com_eq_retain_earn,ff_ebit_oper_ps,ff_restate_ind,ff_loan_chg_cf,ff_invest_activ_oth,ff_dep_chg_cf,ff_dps_all,ff_net_inc_aft_pfd,ff_accr_exp_cf,ff_cap_lease,ff_com_eq_apic,ff_com_eq_gl,ff_com_eq_par,ff_com_shs_out_secs,ff_curn_doc,ff_debt_lt_curr,ff_debt_lt_xcap,ff_dep_exp_xamort_cf,ff_eps,ff_eps_contin_oper,ff_eps_secs,ff_eps_xord,ff_gain_sale_assets_net,ff_oper_exp,ff_oper_inc_bef_dep,ff_opt_wrnt_cf,ff_par_ps,ff_pay_acct_cf,ff_pfd_stk_nred,ff_pfd_stk_red,ff_stk_sale_xopt_cf,ff_tot_invest_ret,ff_treas_shs,ff_treas_stk,ff_wkcap_assets_oth,ff_cash_generic,ff_actg_chg,ff_mkt_val_secs,ff_pbk_secs,ff_bps_secs,ff_disc_oper,ff_misc_exp_non_oper,ff_xord_items,ff_assets_curr_misc,ff_liabs_curr_misc,ff_invest_sale_cf,ff_stk_purch_cf,ff_stk_sale_cf,ff_debt_st_cf,ff_capex_fix,ff_debt_lt_iss_cf,ff_debt_lt_reduct_cf,ff_fin_uses_cf,ff_fin_sources_cf,ff_liabs_oth_xdfd_rev,ff_invest_purch_cf,ff_cogs_xdep,ff_dep_amort_exp,ff_rd_exp,ff_dps_secs,ff_wkcap_ps,ff_ppe_net_owned,ff_debt_st_xoper,ff_debt_lt_xlease,ff_debt_lt_xoper,ff_restruct_exp
KXDMGL-R,2014-03-31,USD,3,3,1.0,2014-03-28,91.0,2014,201403,3406.0,933.0,0.0,2960.0,446.0,2.0,390.0,-5.0,0.0,0.0,395.0,0.0,2310.0,2263.0,846.0,5151.0,915.0,8659.0,2162.0,0.0,1345.0,453.0,3514.0,0.0,2638.0,3514.0,2638.0,395.0,211.0,84.0,688.0,-141.0,0.0,1.0,140.0,70.0,1.17,8.08015,327.0,338.0,326.478939,54.92,395.0,2638.0,1.21,338.0,2960.0,0.0,8659.0,2065.0,0.0,1757.0,0.43,0.43,2014-04-29,2014-04-30,2014-04-30,2014-04-30,-2831.0,1.31952662721894,0,0.0,-1.0,0.0,0.43,395.0,-80.0,0.0,5471.0,-2.0,0.0,326.478939,USD,0.0,3514.0,184.0,1.17,1.17,1.17,1.17,0.0,2960.0,657.0,37.0,1e-05,-228.0,0.0,0.0,0.0,54.671,0.0,0.0,79.0,2310.0,0.0,17930.2,6.7969,8.08015,0.0,-4.0,0.0,238.0,605.0,0.0,184.0,37.0,0.0,124.0,0.0,64.0,0.0,0.0,211.0,0.0,2262.0,211.0,297.0,0.43,9.15526131380867,2065.0,0.0,3514.0,3514.0,2.0
KXDMGL-R,2014-12-31,USD,3,2,1.0,2015-01-02,91.0,2015,201412,3696.0,998.0,0.0,3257.0,439.0,43.0,1126.0,193.0,0.0,0.0,933.0,0.0,3306.0,3300.0,1129.0,6632.0,1458.0,10814.0,2819.0,0.0,1736.0,647.0,3932.0,0.0,3715.0,3932.0,3715.0,933.0,208.0,74.0,1209.0,234.0,0.0,28.0,177.0,1106.0,2.78,11.29179,328.0,336.0,329.0,66.02,933.0,3715.0,2.84,336.0,3257.0,0.0,10814.0,2155.0,0.0,1829.0,0.54,0.54,2015-01-26,2015-01-30,2015-01-30,2015-01-30,-1881.0,1.30654761904762,0,0.0,-28.0,0.0,0.54,933.0,165.0,0.0,5621.0,0.0,0.0,329.0,USD,0.0,3932.0,180.0,2.78,2.78,2.78,2.78,-2.0,3257.0,583.0,10.0,1e-05,26.0,0.0,0.0,0.0,21.9008,0.0,0.0,14.0,3306.0,0.0,21720.6,5.84673,11.29179,0.0,159.0,0.0,368.0,811.0,9.0,18.0,10.0,0.0,215.0,498.0,411.0,0.0,0.0,219.0,0.0,2554.0,144.0,341.0,0.54,11.5896656534954,2155.0,0.0,3932.0,3932.0,3.0
KXDMGL-R,2021-09-30,USD,3,1,1.0,2021-10-01,91.0,2022,202109,3115.0,955.0,0.0,2525.0,590.0,5.0,533.0,7.0,0.0,0.0,526.0,0.0,995.0,993.0,1188.0,3668.0,1568.0,8613.0,2889.0,245.0,1766.0,447.0,4891.0,0.0,601.0,5136.0,601.0,526.0,104.0,36.0,662.0,-166.0,0.0,0.0,153.0,-218.0,2.28,2.677,226.0,231.0,224.504643,84.41,526.0,601.0,2.3274,231.0,2525.0,0.0,8613.0,2213.0,0.0,1301.0,0.67,0.67,2021-10-22,2021-10-28,2021-10-28,2021-10-28,-6398.0,2.55411255411255,0,0.0,0.0,0.0,0.67,526.0,-81.0,0.0,,0.0,7044.0,224.504643,USD,245.0,4891.0,101.0,2.2771,2.2771,2.2771,2.2771,-3.0,2525.0,694.0,33.0,1e-05,28.0,0.0,0.0,0.0,78.6828,0.0,0.0,14.0,995.0,0.0,18950.4,31.5316,2.677,0.0,6.0,0.0,184.0,537.0,15.0,425.0,33.0,0.0,117.0,0.0,6.0,43.0,0.0,154.0,18.0,2056.0,104.0,233.0,0.67,3.46986142286599,2213.0,245.0,4891.0,4891.0,1.0
QH6KJ2-R,2018-06-30,USD,3,4,1.0,2018-06-24,91.0,2018,201806,409.454,105.916,0.0,422.444,-12.99,5.962,-24.983,8.288,-0.015,0.0,-33.256,0.0,387.085,118.924,296.015,890.09,1022.184,2637.545,248.293,0.0,151.307,19.723,292.0,0.0,2067.136,292.0,2067.136,-33.27,40.693,14.999,32.259,9.676,0.076,0.0,0.0,17.698,-0.33,20.36828,100.77575757576,100.77575757576,101.488,47.66,-33.271,2072.081,-0.33,100.77575757576,422.444,4.945,2637.545,661.319,0.0,156.309,0.0,0.0,2018-08-14,2018-08-20,2018-08-20,2018-08-20,-482.71,-0.128900048111616,0,0.0,0.0,0.0,0.0,-33.256,12.961,0.0,2549.123,-4.479,0.127,101.488,USD,0.0,292.0,27.793,-0.33,-0.33,-0.33,-0.33,-1.663,422.444,27.703,0.0,0.00125,-1.032,0.0,0.0,30.381,88.0079,0.0,0.0,-7.399,387.085,0.0,4836.92,2.33991,20.36828,0.0,-4.498,0.0,22.371,35.475,57.4,0.0,30.381,0.0,57.255,115.0,139.0,0.0,0.0,0.315,26.065,262.845,40.693,42.447,0.0,6.3238708024594,661.319,0.0,292.0,292.0,5.962
KXDMGL-R,2006-06-30,USD,3,4,1.0,2006-06-30,91.0,2006,200606,2529.0,448.0,0.0,2457.0,72.0,0.0,83.0,76.0,0.0,0.0,7.0,0.0,1733.0,910.0,891.0,4333.0,3061.0,9664.0,3337.0,330.0,1692.0,609.0,640.0,0.0,5212.0,970.0,5212.0,7.0,176.0,28.0,234.0,-72.0,297.0,-4.0,40.0,-125.0,0.01,9.04943,532.0,563.0,575.947957,22.64,7.0,5212.0,0.0132,563.0,2457.0,0.0,9664.0,2106.0,0.0,1445.0,0.08,0.08,2006-08-08,2006-09-11,2006-09-11,2006-09-11,2362.0,0.127886323268206,0,0.0,4.0,0.0,0.08,7.0,-25.0,0.0,2858.0,0.0,0.0,575.947957,USD,330.0,640.0,,0.0124,0.0124,0.0124,0.0124,0.0,2457.0,248.0,12.0,1e-05,17.0,0.0,0.0,0.0,32.3343,0.0,0.0,25.0,1733.0,0.0,13039.5,2.50182,9.04943,0.0,0.0,0.0,264.0,858.0,804.0,399.0,12.0,0.0,402.0,0.0,0.0,0.0,30.0,159.0,593.0,1905.0,176.0,232.0,0.08,1.72932291519527,2106.0,330.0,640.0,640.0,0.0
KXDMGL-R,2010-03-31,USD,3,3,1.0,2010-04-02,91.0,2010,201003,3049.0,891.0,0.0,2487.0,562.0,4.0,522.0,4.0,0.0,0.0,518.0,0.0,2379.0,2165.0,685.0,5156.0,153.0,7747.0,3136.0,377.0,1895.0,444.0,1598.0,0.0,2657.0,1975.0,2657.0,518.0,188.0,13.0,723.0,-146.0,,-3.0,0.0,171.0,1.0,5.43354,493.0,520.0,489.0,18.11,518.0,2657.0,1.05,520.0,2487.0,0.0,7747.0,2054.0,0.0,1818.0,0.0,0.0,2010-04-20,2010-05-05,2010-05-05,2010-05-05,-1169.0,1.08076923076923,0,0.0,4.0,0.0,0.0,518.0,-27.0,0.0,3827.0,0.0,0.0,489.0,USD,377.0,1598.0,181.0,1.0,1.0,1.0,1.0,0.0,2487.0,750.0,39.0,1e-05,13.0,0.0,0.0,0.0,169.094,0.0,0.0,26.0,2379.0,0.0,8855.79,3.333,5.43354,0.0,-7.0,0.0,274.0,638.0,90.0,251.0,39.0,-15.0,180.0,0.0,5.0,0.0,0.0,155.0,88.0,1970.0,188.0,224.0,0.0,4.13087934560327,2054.0,377.0,1598.0,1598.0,4.0
KXDMGL-R,2021-12-31,USD,3,2,1.0,2021-12-31,91.0,2022,202112,3116.0,951.0,0.0,2536.0,580.0,1.0,514.0,13.0,0.0,0.0,501.0,0.0,1539.0,1537.0,1287.0,4450.0,1547.0,9375.0,2992.0,235.0,1812.0,491.0,5626.0,0.0,526.0,5861.0,526.0,501.0,108.0,56.0,669.0,-148.0,0.0,0.0,151.0,544.0,2.23,2.39675,221.0,225.0,219.463688,112.98,501.0,526.0,2.267,225.0,2536.0,0.0,9375.0,2216.0,0.0,1399.0,0.7,0.7,2022-01-26,2022-01-27,2022-01-27,2022-01-27,-6533.0,2.57777777777778,0,0.0,0.0,0.0,0.7,501.0,67.0,0.0,,0.0,7084.0,219.463688,USD,235.0,5626.0,105.0,2.2267,2.2267,2.2267,2.2267,-9.0,2536.0,688.0,4.0,1e-05,35.0,0.0,0.0,0.0,86.1165,0.0,0.0,-53.0,1539.0,0.0,24795.0,47.1388,2.39675,0.0,-16.0,0.0,225.0,563.0,19.0,471.0,4.0,0.0,95.0,1200.0,475.0,8.0,0.0,149.0,0.0,2057.0,108.0,228.0,0.7,6.64346805290176,2216.0,235.0,5626.0,5626.0,1.0
QH6KJ2-R,2012-12-31,USD,3,2,1.0,2012-12-30,98.0,2013,201212,346.286,125.757,0.0,320.57,25.716,0.0,27.573,7.17,0.0,,20.403,0.0,885.803,179.608,185.006,1298.409,990.598,2844.056,175.953,0.0,94.487,15.729,0.0,0.0,2635.608,0.0,2635.608,20.403,39.921,17.573,77.897,14.711,0.254,0.0,0.0,15.756,0.18,22.59415,115.965,116.41,116.65,33.2,20.403,2635.608,0.18,116.41,320.57,0.0,2844.056,555.049,0.0,144.552,0.0,0.0,2013-01-22,2013-01-23,2013-01-23,2013-01-23,723.764,0.220908856627438,0,0.0,0.0,0.0,0.0,20.403,-2.165,0.0,1900.5,0.0,0.145,116.65,USD,0.0,0.0,30.421,0.18,0.18,0.18,0.18,-0.616,320.57,65.637,-5.286,0.00125,4.901,0.0,0.0,8.177,53.2779,0.0,0.0,-0.614,885.803,0.0,3872.78,1.46941,22.59415,0.0,-0.089,0.0,83.048,32.655,127.189,0.638,2.891,0.0,17.833,0.0,0.0,0.0,0.075,16.762,184.426,180.608,39.921,39.941,0.0,9.62242606086584,555.049,0.0,0.0,0.0,0.0
C8X3ZJ-R,2023-03-31,USD,3,1,1.0,2023-03-31,90.0,2023,202303,49.331,26.541,0.0,107.363,-58.032,0.0,-59.793,0.0,0.0,0.0,-59.793,0.0,274.224,136.953,27.775,323.024,137.97,547.801,77.985,23.088,12.996,15.436,412.63,0.0,-26.673,435.718,-26.673,-59.793,6.618,12.164,-41.011,-28.489,0.0,0.0,0.0,29.081,-0.74,-0.31747,81.134111,81.134111,84.017208,32.21,-59.793,-26.673,-0.737,81.134111,107.363,0.0,547.801,79.662,0.0,15.373,0.0,0.0,2023-05-09,2023-05-09,2023-05-09,2023-05-09,-1814.167,-0.715260194321966,1,0.0,0.0,0.0,0.0,-59.793,-23.311,0.0,1787.535,-0.125,0.084,84.017208,USD,18.611,379.859,4.614,-0.737,-0.737,-0.737,-0.737,0.0,107.363,-51.413,9.481,0.001,5.095,0.0,0.0,0.0,65.1795,0.0,0.0,1.4,274.224,0.0,2706.19,,-0.31747,0.0,-0.234,0.0,5.652,25.732,125.48,0.0,9.481,0.0,0.87,0.0,2.486,3.73,0.0,2.835,29.294,16.171,6.619,20.704,0.0,2.91653347966526,41.763,18.611,379.859,379.859,0.0
KXDMGL-R,2020-09-30,USD,3,1,1.0,2020-10-02,91.0,2021,202009,2314.0,593.0,0.0,2062.0,252.0,1.0,221.0,-2.0,0.0,0.0,223.0,0.0,1671.0,1666.0,1323.0,3994.0,1455.0,8862.0,2644.0,41.0,1795.0,390.0,4187.0,0.0,1821.0,4228.0,1821.0,223.0,99.0,20.0,324.0,-27.0,0.0,0.0,167.0,-58.0,0.86,7.05814,257.0,259.0,258.0,48.74,223.0,1821.0,0.8677,259.0,2062.0,0.0,8862.0,2270.0,0.0,866.0,0.65,0.65,2020-10-22,2020-10-29,2020-10-29,2020-10-29,-4947.0,0.972972972972973,0,0.0,0.0,0.0,0.65,223.0,-88.0,0.0,,0.0,6814.0,258.0,USD,25.0,4138.0,96.0,0.861,0.861,0.861,0.861,0.0,2062.0,351.0,29.0,1e-05,-24.0,0.0,0.0,0.0,-4.35917,0.0,0.0,17.0,1671.0,0.0,12574.9,6.9055,7.05814,0.0,13.0,0.0,134.0,484.0,11.0,68.0,29.0,0.0,111.0,0.0,13.0,32.0,0.0,132.0,4.0,1622.0,99.0,223.0,0.65,5.23255813953488,2167.0,25.0,4138.0,4138.0,1.0
