fsym_id,date,currency,ff_upd_type,ff_fp_ind_code,ff_report_freq_code,ff_fiscal_date,ff_fy_length_days,ff_fyr,ff_fpnc,ff_sales,ff_oper_exp_tot,ff_oper_inc,ff_ptx_inc,ff_inc_tax,ff_min_int_exp,ff_net_income,ff_div_pfd,ff_cash_st,ff_cash_only,ff_inven,ff_assets_curr,ff_assets_oth_intang,ff_intang,ff_assets,ff_liabs_curr,ff_debt_st,ff_debt_lt,ff_pfd_stk,ff_com_eq,ff_debt,ff_shldrs_eq,ff_chg_cash_cf,ff_bps,ff_com_shs_out,ff_actg_standard,ff_consol_net_inc,ff_eq_tot,ff_exp_tot,ff_min_int_accum,ff_liabs_shldrs_eq,ff_ppe_net,ff_receiv_st,ff_dps,ff_dps_gross,ff_eps_rpt_date,ff_source_is_date,ff_source_bs_date,ff_source_cf_date,ff_restate_ind,ff_loan_chg_cf,ff_dep_chg_cf,ff_dps_all,ff_net_inc_aft_pfd,ff_curn_doc,ff_debt_lt_xcap,ff_eps,ff_eps_xord,ff_oper_exp,ff_oper_inc_bef_dep,ff_pfd_stk_nred,ff_pfd_stk_red,ff_disc_oper,ff_misc_exp_non_oper,ff_int_exp_debt,ff_xord_items,ff_liabs_curr_misc,ff_liabs_oth_xdfd_rev,ff_dep_amort_exp,ff_wkcap_ps,ff_ppe_net_owned,ff_debt_st_xoper,ff_debt_lt_xlease,ff_debt_lt_xoper,ff_assets_tang,ff_dfd_tax_rsrv,ff_restruct_exp
C6LWM5-R,2021-03-31,NOK,3,1,1,2021-03-31,90,2021,202103,3184,2622.4,561.6,889,199,23,716,0,206,206,6922,8519,6777,6777,22881,4277,1366,5067,0,10523,6433,10523,-18,93.06852,113.067228,23,739,11640,2622.4,1117,22880,6650,1391,0,0,2021-05-12,2021-05-12,2021-05-12,2021-05-12,0,0,0,0,716,NOK,4339,6.3325,6.3325,2622.4,754.6,0,0,0,12.5,37.3,0,0,0,193,37.5175024190033,5837,1366,4339,5067,16104,0,0
HWYYQ0-R,2009-03-31,DKK,3,1,1,2009-03-31,90,2009,200903,2126,1723,403,405,107,0,298,0,1016,966,1562,4245,1264,1189,9986,2896,1018,1537,0,4491,2555,4491,164,14.4871,310,23,298,4502,1723,11,9986,4413,1667,0,0,2009-04-29,2009-04-29,2009-04-29,2009-04-29,0,0,0,0,298,DKK,1537,0.962,0.962,1723,543,0,0,0,43,41,0,1323,206,140,4.35161290322581,4413,1018,1537,1537,8797,0,0
HWYYQ0-R,2021-09-30,DKK,3,3,1,2021-09-30,92,2021,202109,3761,2676,1085,1054,211,1,842,0,904,863,2860,7189,3544,3544,21826,4413,1481,4089,0,11566,5570,11566,-106,41.76345,276.940714,23,843,11578,2676,12,21826,9755,3413,0,0,2021-10-26,2021-10-26,2021-10-26,2021-10-26,0,0,0,0,842,DKK,3712,3.0386,3.0386,2676,1438,0,0,0,-22,9,0,1452,599,353,10.0238060338069,9755,1481,3712,4089,18282,0,0
KZ5B9F-R,2002-12-31,NOK,3,4,1,2002-12-31,92,2002,200212,2055,1935,120,88,39,1,75,0,644,587,142,1716,782,782,6402,1830,0,1708,0,2020,1708,2020,218,23.63684,85.45980208738,23,76,2182,1935,162,6402,2652,930,1.59413,1.59412959862351,2003-02-13,2003-04-15,2003-04-15,2003-04-15,0,0,0,1.59413,75,NOK,1523,0.8768,0.8768,1935,214,0,0,0,95,62,0,958,4,94,-1.33396049622767,2652,0,1523,1708,5620,0,87
MVMFXK-R,2002-06-30,DKK,3,2,1,2002-06-30,91,2002,200206,6553,5114,1439,1688,591,-4,1101,0,0,0,0,0,30520,0,30520,0,0,0,0,21153,0,21153,0,3.04757,6940.93338,01,1097,21187,5114,34,30520,0,0,0,0,2002-08-06,2002-08-06,2002-08-06,2002-08-06,0,0,0,0,1101,DKK,0,0.1585,0.1585,5114,1735,0,0,0,167,0,0,0,0,296,0,0,0,0,0,0,0,0
PDBDMJ-R,2021-06-30,NOK,3,2,1,2021-06-30,91,2021,202106,10064.0588224787,8731.47203888237,1332.58678359634,1540.55108467274,326.079947804256,-1.00953544211844,1282.11001149042,0,832.720385088001,832.720385088001,18653.548920372,25281.635809032,12769.399728684,12742.866971316,60607.9612631881,7712.86846874401,1893.01018914,16504.395573564,0,31841.349822936,18397.405762704,31841.349822936,-88.171149963539,61.57545,517.111091,23,1281.1004760483,31859.71865496,8731.47203888237,18.368832024,60607.9612631881,20292.45693318,5796.38699424,0.96,0.96,2021-08-25,2021-08-25,2021-08-25,2021-08-25,0,0,0,1.96,1282.11001149042,EUR,12583.670427108,2.4794,2.4794,8731.47203888237,2277.5119574192,0,0,0,106.00122,150.420780875647,0,1.00044417195022e-11,105.110539,944.925173822858,33.9748414722901,14469.537181572,1893.01018914,12583.670427108,16504.395573564,47865.0942918721,0,2.01907088423688
BNW4RV-R,2024-03-31,NOK,3,1,1,2024-03-31,91,2024,202403,1558,1746,-188,-209,0,-2,-207,0,142,142,1885,2307,2492,2492,7286,3472,1594,1706,0,2164,3300,2164,-264,0.91006,2377.860043,23,-209,2108,1746,-56,7286,2233,280,0,0,2024-04-24,2024-04-24,2024-04-24,2024-04-24,0,0,0,0,-207,NOK,218,-0.1244,-0.1244,1746,12,0,0,0,22,43,0,730,0,200,-0.489936320444744,456,1594,218,1706,4794,0,0
C6LWM5-R,2007-09-30,NOK,3,3,1,2007-09-30,92,2007,200709,462.1,355,107.1,151.7,42.5,0,111.9,0,126.3,126.3,736.4,1031.7,1156.8,870.2,2526.5,300.4,60.6,672.3,0,1186.2,732.9,1186.2,0.6,11.5165,103,23,111.9,1186.9,355,0.7,2526.5,338,169,0,0,2007-10-31,2008-10-21,2008-10-21,2008-10-21,0,0,0,0,111.9,NOK,672.3,1.09,1.09,355,118.2,0,0,0,0,14.4,0,239.8,366.9,11.1,7.1,338,60.6,672.3,672.3,1656.3,0,0
HWYYQ0-R,2008-09-30,DKK,3,3,1,2008-09-30,92,2008,200809,2062,1677,385,369,97,0,272,0,921,814,1468,4270,1203,1194,9743,2940,990,1440,0,4184,2430,4184,211,13.51858,309.5,23,272,4194,1677,10,9743,4211,1881,0,0,2008-10-31,2008-10-31,2008-10-31,2008-10-31,0,0,0,0,272,DKK,1440,0.88,0.88,1677,551,0,0,0,0,16,0,1293,188,166,4.29725363489499,4211,990,1440,1440,8549,0,0
HWYYQ0-R,2015-06-30,DKK,3,2,1,2015-06-30,91,2015,201506,3449,2494,955,880,198,0,682,0,1564,1522,2347,6867,2944,2895,18326,4150,234,1226,0,11183,1460,11183,319,36.53381,306.1,23,682,11196,2494,13,18326,7887,2956,0,0,2015-08-06,2015-08-06,2015-08-06,2015-08-06,0,0,0,0,682,DKK,1226,2.22,2.22,2494,1190,0,0,0,25,22,0,1882,843,235,8.87618425351192,7887,234,1226,1226,15431,0,0
