fsym_id,price_date,adj_price,index_fsym_id,index_price_date,index_adj_price
P35SQC-S,2000-01-31,47.0625,K6Q83L-S,null,null
P35SQC-S,2000-02-29,93.9375,K6Q83L-S,null,null
P35SQC-S,2000-03-31,56.4375,K6Q83L-S,null,null
P35SQC-S,2000-04-30,72.75,K6Q83L-S,null,null
P35SQC-S,2000-05-31,60.742,K6Q83L-S,2000-05-31,78.266
P35SQC-S,2000-06-30,66.75,K6Q83L-S,2000-06-30,78.969
P35SQC-S,2000-07-31,56.219,K6Q83L-S,2000-07-31,78.375
P35SQC-S,2000-08-31,68.875,K6Q83L-S,2000-08-31,84.172
P35SQC-S,2000-09-30,58.125,K6Q83L-S,2000-09-30,80.672
P35SQC-S,2000-10-31,49.625,K6Q83L-S,2000-10-31,78.859
P35SQC-S,2000-11-30,28.0625,K6Q83L-S,2000-11-30,71.641
P35SQC-S,2000-12-31,35.531,K6Q83L-S,2000-12-31,72.453
P35SQC-S,2001-01-31,34.5,K6Q83L-S,2001-01-31,75.59
P35SQC-S,2001-02-28,21,K6Q83L-S,2001-02-28,68.06
P35SQC-S,2001-03-31,14.97,K6Q83L-S,2001-03-31,63.36
P35SQC-S,2001-04-30,21.53,K6Q83L-S,2001-04-30,68.84
P35SQC-S,2001-05-31,28.7,K6Q83L-S,2001-05-31,69.48
P35SQC-S,2001-06-30,26.145,K6Q83L-S,2001-06-30,68.16
P35SQC-S,2001-07-31,24.46,K6Q83L-S,2001-07-31,66.96
P35SQC-S,2001-08-31,20.97,K6Q83L-S,2001-08-31,62.86
P35SQC-S,2001-09-30,14.78,K6Q83L-S,2001-09-30,57.3
P35SQC-S,2001-10-31,17.95,K6Q83L-S,2001-10-31,58.42
P35SQC-S,2001-11-30,24.86,K6Q83L-S,2001-11-30,62.71
P35SQC-S,2001-12-31,29.46,K6Q83L-S,2001-12-31,63.5
P35SQC-S,2002-01-31,19.14,K6Q83L-S,2002-01-31,62.49
P35SQC-S,2002-02-28,14.07,K6Q83L-S,2002-02-28,61.41
P35SQC-S,2002-03-31,13.63,K6Q83L-S,2002-03-31,63.7
P35SQC-S,2002-04-30,11.79,K6Q83L-S,2002-04-30,60.52
P35SQC-S,2002-05-31,11.48,K6Q83L-S,2002-05-31,59.81
P35SQC-S,2002-06-30,13.23,K6Q83L-S,2002-06-30,55.12
P35SQC-S,2002-07-31,15.12,K6Q83L-S,2002-07-31,50.68
P35SQC-S,2002-08-31,13.76,K6Q83L-S,2002-08-31,51.15
P35SQC-S,2002-09-30,12.5,K6Q83L-S,2002-09-30,45.31
P35SQC-S,2002-10-31,17.25,K6Q83L-S,2002-10-31,49.04
P35SQC-S,2002-11-30,23.67,K6Q83L-S,2002-11-30,51.99
P35SQC-S,2002-12-31,16.35,K6Q83L-S,2002-12-31,48.96
P35SQC-S,2003-01-31,17.96,K6Q83L-S,2003-01-31,47.75
P35SQC-S,2003-02-28,17.02,K6Q83L-S,2003-02-28,47
P35SQC-S,2003-03-31,18.52,K6Q83L-S,2003-03-31,47.3
P35SQC-S,2003-04-30,19.95,K6Q83L-S,2003-04-30,51.09
P35SQC-S,2003-05-31,24.5,K6Q83L-S,2003-05-31,54.25
P35SQC-S,2003-06-30,16.25,K6Q83L-S,2003-06-30,54.59
P35SQC-S,2003-07-31,13.38,K6Q83L-S,2003-07-31,55.91
P35SQC-S,2003-08-31,15.82,K6Q83L-S,2003-08-31,57.04
P35SQC-S,2003-09-30,18.52,K6Q83L-S,2003-09-30,56.35
P35SQC-S,2003-10-31,17.75,K6Q83L-S,2003-10-31,59.63
P35SQC-S,2003-11-30,18.36,K6Q83L-S,2003-11-30,60.6
P35SQC-S,2003-12-31,17.69,K6Q83L-S,2003-12-31,62.96
P35SQC-S,2004-01-31,25.07,K6Q83L-S,2004-01-31,64.19
P35SQC-S,2004-02-29,23.95,K6Q83L-S,2004-02-29,65.19
P35SQC-S,2004-03-31,22.23,K6Q83L-S,2004-03-31,64.17
P35SQC-S,2004-04-30,18.52,K6Q83L-S,2004-04-30,62.8
P35SQC-S,2004-05-31,23.01,K6Q83L-S,2004-05-31,63.74
P35SQC-S,2004-06-30,23.15,K6Q83L-S,2004-06-30,64.76
P35SQC-S,2004-07-31,22.38,K6Q83L-S,2004-07-31,62.4
P35SQC-S,2004-08-31,24.97,K6Q83L-S,2004-08-31,62.53
P35SQC-S,2004-09-30,30.5,K6Q83L-S,2004-09-30,63.2
P35SQC-S,2004-10-31,34.51,K6Q83L-S,2004-10-31,64.24
P35SQC-S,2004-11-30,35.78,K6Q83L-S,2004-11-30,67.3
P35SQC-S,2004-12-31,40.08,K6Q83L-S,2004-12-31,69.15
P35SQC-S,2005-01-31,24.03,K6Q83L-S,2005-01-31,67.27
P35SQC-S,2005-02-28,23.52,K6Q83L-S,2005-02-28,68.85
P35SQC-S,2005-03-31,21.75,K6Q83L-S,2005-03-31,67.3
P35SQC-S,2005-04-30,24.19,K6Q83L-S,2005-04-30,65.78
P35SQC-S,2005-05-31,29.99,K6Q83L-S,2005-05-31,68.36
P35SQC-S,2005-06-30,25.47,K6Q83L-S,2005-06-30,68.48
P35SQC-S,2005-07-31,29.65,K6Q83L-S,2005-07-31,71.32
P35SQC-S,2005-08-31,25.64,K6Q83L-S,2005-08-31,70.74
P35SQC-S,2005-09-30,25.02,K6Q83L-S,2005-09-30,71.09
P35SQC-S,2005-10-31,24.04,K6Q83L-S,2005-10-31,69.51
P35SQC-S,2005-11-30,26.83,K6Q83L-S,2005-11-30,72.4
P35SQC-S,2005-12-31,25.24,K6Q83L-S,2005-12-31,72.02
P35SQC-S,2006-01-31,26.06,K6Q83L-S,2006-01-31,74.23
P35SQC-S,2006-02-28,29.95,K6Q83L-S,2006-02-28,74.52
P35SQC-S,2006-03-31,32.81,K6Q83L-S,2006-03-31,75.69
P35SQC-S,2006-04-30,29.82,K6Q83L-S,2006-04-30,76.51
P35SQC-S,2006-05-31,25.65,K6Q83L-S,2006-05-31,74.01
P35SQC-S,2006-06-30,23.76,K6Q83L-S,2006-06-30,73.71
P35SQC-S,2006-07-31,19.73,K6Q83L-S,2006-07-31,73.74
P35SQC-S,2006-08-31,18.62,K6Q83L-S,2006-08-31,75.52
P35SQC-S,2006-09-30,20.11,K6Q83L-S,2006-09-30,76.89
P35SQC-S,2006-10-31,21.99,K6Q83L-S,2006-10-31,79.48
P35SQC-S,2006-11-30,19.8,K6Q83L-S,2006-11-30,81.28
P35SQC-S,2006-12-31,17.32,K6Q83L-S,2006-12-31,82.04
P35SQC-S,2007-01-31,15.38,K6Q83L-S,2007-01-31,83.54
P35SQC-S,2007-02-28,17.6,K6Q83L-S,2007-02-28,82.15
P35SQC-S,2007-03-31,16.46,K6Q83L-S,2007-03-31,82.64
P35SQC-S,2007-04-30,20.4,K6Q83L-S,2007-04-30,85.91
P35SQC-S,2007-05-31,22.5,K6Q83L-S,2007-05-31,89.08
P35SQC-S,2007-06-30,25.85,K6Q83L-S,2007-06-30,87.03
P35SQC-S,2007-07-31,25.62,K6Q83L-S,2007-07-31,84.18
P35SQC-S,2007-08-31,26.6,K6Q83L-S,2007-08-31,85.15
P35SQC-S,2007-09-30,31.1,K6Q83L-S,2007-09-30,87.99
P35SQC-S,2007-10-31,28,K6Q83L-S,2007-10-31,89.58
P35SQC-S,2007-11-30,24.63,K6Q83L-S,2007-11-30,85.6
P35SQC-S,2007-12-31,27.47,K6Q83L-S,2007-12-31,84.4
P35SQC-S,2008-01-31,29.55,K6Q83L-S,2008-01-31,79.36
P35SQC-S,2008-02-29,30.9,K6Q83L-S,2008-02-29,77.17
P35SQC-S,2008-03-31,27.96,K6Q83L-S,2008-03-31,76.21
P35SQC-S,2008-04-30,26,K6Q83L-S,2008-04-30,79.97
P35SQC-S,2008-05-31,25.42,K6Q83L-S,2008-05-31,81.54
P35SQC-S,2008-06-30,22.81,K6Q83L-S,2008-06-30,74.9
P35SQC-S,2008-07-31,19.4,K6Q83L-S,2008-07-31,73.96
P35SQC-S,2008-08-31,23.31,K6Q83L-S,2008-08-31,75.2
P35SQC-S,2008-09-30,22.78,K6Q83L-S,2008-09-30,68.79
P35SQC-S,2008-10-31,19.63,K6Q83L-S,2008-10-31,55.88
P35SQC-S,2008-11-30,15.88,K6Q83L-S,2008-11-30,51.35
P35SQC-S,2008-12-31,15.87,K6Q83L-S,2008-12-31,52
P35SQC-S,2009-01-31,19.93,K6Q83L-S,2009-01-31,47.65
P35SQC-S,2009-02-28,19.64,K6Q83L-S,2009-02-28,42.65
P35SQC-S,2009-03-31,23.53,K6Q83L-S,2009-03-31,45.88
P35SQC-S,2009-04-30,27.39,K6Q83L-S,2009-04-30,50.97
P35SQC-S,2009-05-31,30.36,K6Q83L-S,2009-05-31,53.81
P35SQC-S,2009-06-30,29.4,K6Q83L-S,2009-06-30,53.87
P35SQC-S,2009-07-31,32.06,K6Q83L-S,2009-07-31,57.66
P35SQC-S,2009-08-31,36.84,K6Q83L-S,2009-08-31,59.76
P35SQC-S,2009-09-30,36.75,K6Q83L-S,2009-09-30,61.99
P35SQC-S,2009-10-31,42.1,K6Q83L-S,2009-10-31,60.38
P35SQC-S,2009-11-30,47.83,K6Q83L-S,2009-11-30,63.87
P35SQC-S,2009-12-31,56.37,K6Q83L-S,2009-12-31,65.28
P35SQC-S,2010-01-31,55.91,K6Q83L-S,2010-01-31,62.85
P35SQC-S,2010-02-28,67.83,K6Q83L-S,2010-02-28,64.97
P35SQC-S,2010-03-31,70.22,K6Q83L-S,2010-03-31,68.81
P35SQC-S,2010-04-30,73.21,K6Q83L-S,2010-04-30,70.33
P35SQC-S,2010-05-31,66.37,K6Q83L-S,2010-05-31,64.89
P35SQC-S,2010-06-30,60.03,K6Q83L-S,2010-06-30,61.08
P35SQC-S,2010-07-31,70.84,K6Q83L-S,2010-07-31,64.94
P35SQC-S,2010-08-31,53.54,K6Q83L-S,2010-08-31,61.93
P35SQC-S,2010-09-30,54.29,K6Q83L-S,2010-09-30,67.45
P35SQC-S,2010-10-31,51.29,K6Q83L-S,2010-10-31,70.15
P35SQC-S,2010-11-30,65.18,K6Q83L-S,2010-11-30,70.41
P35SQC-S,2010-12-31,65.89,K6Q83L-S,2010-12-31,74.95
P35SQC-S,2011-01-31,50.49,K6Q83L-S,2011-01-31,76.54
P35SQC-S,2011-02-28,52.67,K6Q83L-S,2011-02-28,79.36
P35SQC-S,2011-03-31,46.16,K6Q83L-S,2011-03-31,79.26
P35SQC-S,2011-04-30,40.74,K6Q83L-S,2011-04-30,81.72
P35SQC-S,2011-05-31,43.89,K6Q83L-S,2011-05-31,80.78
P35SQC-S,2011-06-30,33.59,K6Q83L-S,2011-06-30,79.29
P35SQC-S,2011-07-31,32.85,K6Q83L-S,2011-07-31,76.97
P35SQC-S,2011-08-31,32.43,K6Q83L-S,2011-08-31,72.46
P35SQC-S,2011-09-30,25.98,K6Q83L-S,2011-09-30,66.73
